ἀστήρ	ἀστήρ	N-	----NSM-
ὅν	ὅς	RR	----ASM-
εἶδον	ὁράω	V-	3AAI-P--
ἐν	ἐν	P-	--------
τῇ	ὁ	RA	----DSF-
ἀνατολῇ	ἀνατολή	N-	----DSF-
προῆγε(ν)	προάγω	V-	3IAI-S--
αὐτούς	αὐτός	RP	----APM-
ἕως	ἕως	C-	--------
ἐλθών	ἔρχομαι	V-	-AAPNSM-
ἐστάθη	ἵστημι	V-	3API-S--
ἐπάνω	ἐπάνω	P-	--------
οὗ	οὗ	D-	--------
ἦν	εἰμί	V-	3IAI-S--
τό	ὁ	RA	----NSN-
παιδίον	παιδίον	N-	----NSN-
ἰδόντες	ὁράω	V-	-AAPNPM-
δέ	δέ	C-	--------
τόν	ὁ	RA	----ASM-
ἀστέρα	ἀστήρ	N-	----ASM-
ἐχάρησαν	χαίρω	V-	3API-P--
χαράν	χαρά	N-	----ASF-
μεγάλην	μέγας	A-	----ASF-
σφόδρα	σφόδρα	D-	--------
καί	καί	C-	--------
ἐλθόντες	ἔρχομαι	V-	-AAPNPM-
εἰς	εἰς	P-	--------
τήν	ὁ	RA	----ASF-
οἰκίαν	οἰκία	N-	----ASF-
εἶδον	ὁράω	V-	3AAI-P--
τό	ὁ	RA	----ASN-
παιδίον	παιδίον	N-	----ASN-
μετά	μετά	P-	--------
Μαρίας	Μαρία	N-	----GSF-
τῆς	ὁ	RA	----GSF-
μητρός	μήτηρ	N-	----GSF-
αὐτοῦ	αὐτός	RP	----GSM-
καί	καί	C-	--------
πεσόντες	πίπτω	V-	-AAPNPM-
προσεκύνησαν	προσκυνέω	V-	3AAI-P--
αὐτῷ	αὐτός	RP	----DSM-
καί	καί	C-	--------
ἀνοίξαντες	ἀνοίγω	V-	-AAPNPM-
τούς	ὁ	RA	----APM-
θησαυρούς	θησαυρός	N-	----APM-
