α	Alpha	alpha, the first letter of the Greek alphabet.
ἐπιδιορθόω	to straighten out	to set in order further : Tit.1:5 (Inscr.; Cremer, 8O8).† (AS)
ἐπιδύω	to set	to go down, set (of the sun): Eph.4:26. † (AS)
ἐπιείκεια	gentleness	(ἐπιεικής), fairness, moderation, gentleness ("sweet reasonableness," Matthew Arnold): Act.24:4; with πραΰτης, 2Co.10:1. † SYN. : πραΰτης (see Tr., Syn., § xliii) (AS)
ἐπιεικής	gentle	(εἰκός, likely), seemly, fitting (Hom.). equitable, fair, moderate : 1Ti.3:3, Tit.3:2, 1Pe.2:18, Jas.3:17; τὸ ἐ. (Thuc., i, 76), Php.4:5 (cf.
ἐπιζητέω	to seek after	"directive" of ζητέω (MM, Exp., xiv), to inquire for, seek after, wish for : with accusative of thing(s), Mat.6:32 12:39 16:4, Luk.12:30, Act.19:39, Rom.11:7, Php.4:17, Heb.11:14 13:14; with
ἐπιθανάτιος	condemned to death	condemned to death : 1Co.4:9. † (AS)
ἐπίθεσις	laying on	(ἐπιτίθημι), a laying on : χειρῶν, Act.8:18, 1Ti.4:14, 2Ti.1:6, Heb.6:2 (cf.
ἐπιθυμέω	to long for	(θυμός), to set one's heart upon, desire, lust after, covet : absol., Jas.4:2, Rom.7:7 13:9 " (LXX), 1Co.10:6 (of. 4Ma.2:6 ); before κατά (against, in opposition to), Gal.5:17; prop. (as in cl.) with
ἐπιθυμητής	one who desires	(ἐπιθυμέω) one longing for, lustful after : κακῶν, 1Co.10:6. † (AS)
ἐπιθυμία	desire	(έπιθυμέω), desire, longing : Luk.22:15 (see: ἐπιθυμέω), Php.1:23, 1Th.2:17, Rev.18:14; p1., Mrk.4:19; esp. with ref. to forbidden things, desire, lust (Vg., concupiscentia): Rom.7:7-8, Jas.1:14-15,
ἐπικαθίζω	to sit on	to sit upon : Mat.21:7. † (AS)
ἐπικαλέω	to call (on)/name	to call, name, surname : with accusative (cl.), Mat.10:25; pass., Act.1:23 4:36 10:5, 18 10:22 11:13 12:12, 25, Heb.11:16; τ. ὄνομα, before ἐπί (denoting possession, as Heb. עַל.. שֻׁם קָרָא),
ἐπικάλυμμα	covering	(ἐπικαλύπτω), a cover, veil : metaphorically, τ. κακίας, 1Pe.2:16. † (AS)
ἐπικαλύπτω	to cover	to cover over, cover up : metaphorically, Rom.4:7 (LXX).† (AS)
ἐπικατάρατος	cursed	(ἐπικαταράομαι, to imprecate curses on), accursed : Gal.3:10 (LXX) Gal.3:13 (LXX κεκαταραμένος) (Cremer, 109).† (AS)
ἐπίκειμαι	to lay on	to be placed, lie on : Jhn.21:9; before ἐπί, with dative, Jhn.11:38; figuratively, Heb.9:10; ἀνάγκη, 1Co.9:16; χειμῶν, to threaten, come on : Act.27:20; of persons, to press upon : Luk.5:1 23:23.†
Ἐπικούρειος	Epicurean	an Epicurean, a follower of Epicurus : Act.17:18. † (AS)
ἐπικουρία	help	(ἐπικουρέω to be an ἐπίκουρος, an ally) aid, assistance : Act.26:22. † (AS)
ἐπικρίνω	to decide	to decree, give sentence : with accusative and inf., Luk.23:24. † (AS)
ἐπιλαμβάνω	to catch	always mid. in LXX and NT (see Cremer, 758), to lap hold of : with genitive of person(s), Mat.14:31, Act.17:19 21:30, 33; with accusative of person(s) (not cl.), Luk.9:47 14:4 23:26 (WH, but see Bl.,
ἐπιλανθάνω	to forget	(alternative mid, form of ἐπιλήθω, to cause to forget) to forget, neglect : with inf., Mat.16:5, Mrk.8:14; with genitive, Heb.6:10 13:2, 16; with accusative (as occasionally in cl.; MM, Exp., xiv),
ἐπιλέγω	to call/choose	to say in addition (Hdt.). to call by name, to call : Jhn.5:2. to choose; mid., to choose for oneself : Act.15:40. † (AS)
ἐπιλείπω	be insufficient	to fail : with accusative of person(s), Heb.11:32. † (AS)
ἐπιλησμονή	forgetfulness	(επιλήθω), forgetful­ness : ἀκροατὴς ἐ. (genitive of qual.), Jas.1:25. † (AS)
ἐπίλοιπος	remaining	(λοιπός), still left, remaining : χρόνος, 1Pe.4:2. † (AS)
ἐπίλυσις	explanation	(ἐπιλύω), release. solution, interpretation : 2Pe.1:20. † (AS)
ἐπιλύω	to explain	to loose, release. to solve, settle, explain : Mrk.4:34, Act.19:39.† (AS)
ἐπιμαρτυρέω	to testify to	to bear witness to : with accusative and inf., 1Pe.5:12,† (AS)
ἐπιμέλεια	care	(ἐπιμελέομαι), attention, care : Act.27:3 (see Field, Notes, 143).† (AS)
ἐπιμελέομαι	to care	to take care of : with genitive, Luk.10:34-35, 1Ti.3:5.† (AS)
ἐπιμελῶς	carefully	adv., carefully : Luk.15:8. † (AS)
ἐπιμένω	to remain/keep on	to stay on, tarry or abide still : before έν, 1Co.16:8; αὐτοῦ, there, Act.15:34 (WH, txt., RV, txt., omit) Act.21:4; with dative, τ. σαρκί, Php.1:24; before παρά, with dative of person(s), Act.28:14;
ἐπινεύω	to accept	to nod in command or approval, to nod approval, consent : Act.18:20. † (AS)
ἐπίνοια	thought	(ἐπινοέω, to contrive) a thought, design : Act.8:22. † (AS)
ἐπιορκέω	to break an oath	(ἐπίορκος), to swear falsely, forswear oneself : Mat.5:33. † (AS)
ἐπίορκος	perjurer	of oaths, sworn falsely.
ἐπιοῦσα	to come later	to come upon, approach Of time, to come on or after; mostly as ptcp., ἐπιών, -οῦσα, όν, next, following : τῇ- ἔ. (sc.ἡμέρᾳ, as frequently in late Gk.), Act.16:11 20:15 21:18; ἡμέρᾳ (as usual in cl.),
ἐπιούσιος	daily	(cf. περιούσιος, ), found only in the phrase ἄρτος ἐ., EV, daily; R, mg., for the coming day : Mat.6:11, Luk.11:3. (Several derivations find support, each pointing to a different meaning. ἐπιοῦσα
ἐπιπίπτω	to fall/press upon	to fall upon (Field, Notes, 25): with dative of person(s), Mrk.3:10 (see Swete, in l), Act.20:10; before ἐπὶ τ. τράχηλον (as Gen.46:29, Tob.11:8, 3Ma.5:49, al.), Luk.15:20, Act.20:37. Metaphorical,
ἐπιπλήσσω	to rebuke	to strike at, to punish. to rebuke, reprove : 1Ti.5:1. † (AS)
ἐπιπνίγω	to choke	- to throttle upon, i.e. (figuratively) overgrowhoke, stifle
ἐπιποθέω	to long for	to long for, desire : with inf., Rom.1:11, 2Co.5:2, 1Th.3:6, 2Ti.1:4, Php.2:26 (WH, ); with accusative of thing(s), 1Pe.2:2; with accusative of person(s), 2Co.9:14, Php.1:8 2:26 (WH, mg); absol.,
ἐπιπόθησις	longing	longing : 2Co.7:7 7:11.† (AS)
ἐπιπόθητος	longed for	greatly desired, longed for : Php.4:1. † (AS)
ἐπιποθία	longing	longing : Rom.15:23. † (AS)
ἐπιπορεύομαι	to come/go to	to travel, journey to : before πρός, with accusative of person(s), Luk.8:4. † (AS)
ἐπιρράπτω	to sew on	to sew upon : before ἐπί, with accusative, Mrk.2:21. † (AS)
ἐπιρρίπτω	to throw on	(Rec. -ρρίπτω, as in cl.), to cast at. to cast or place upon : with accusative before ἐπί, with accusative, Luk.19:35; metaphorically, τ. μέριμναν, 1Pe.5:7 (LXX).† (AS)
ἐπίσημος	notable	(σῆμα, a mark), bearing a mark; of money, stamped, coined.
ἐπισιτισμός	food	(ἐπισιτίζομαι, to supply with provisions), a foraging. provisions, food : Luk.9:12. † (AS)
ἐπισκέπτομαι	to visit/care for	(late form of ἐπισκοπέω, which see), to inspect, examine. (a) to visit: with accusative, Act.7:23 15:36 (cf.
ἐπισκηνόω	to rest upon/dwell	to tent upon, spread a tabernacle over : metaphorically, before ἐπ᾽ ἐμέ (RV, rest upon, cover), 2Co.12:9. † (AS)
ἐπισκιάζω	to overshadow	to throw a shadow upon, overshadow : with dative, Act.5:15; of a shining (Mt, l.with, and cf.
ἐπισκοπέω	to oversee/care for	to look upon, observe, examine : before μή, Heb.12:16. As ἐπισκέπτομαι in LXX, NT, to visit, care for : 1Pe.5:2 (R, txt.; WH cm.; Cremer, 527).† (AS)
ἐπισκοπή	oversight	a visiting, visitation (εἰς ἐ. τοῦ παιδός, Lucian, dial. deor., 20, 6); as in LXX (after Heb. ), of God's visitation in mercy, or in judgment ( Lev.19:20 Job.10:12, Jer.6:15, Wis.2:20, al.):
ἐπίσκοπος	overseer	(σκοπός, a watcher), a superintendent, guardian, overseer (cl.; for exx. see LS, see word): Act.20:28, 1Pe.2:25 ( ICC, in l); as technical term for a religious office (Deiss., BS, 230 f.), in later
ἐπισπάω	to uncircumcise	to draw on : mid., in peculiar sense of effacing signs of Judaism (cf. 1Ma.1:15, FlJ, Ant., xii, 5, i; see Thayer, see word), to become as uncircumcised : 1Co.7:18. † (AS)
ἐπίσταμαι	to know/understand	(prob. an old mid, of ἐφίστημι, which see), to know, know of, understand : with accusative of person(s), Act.19:15; with ptcp., Act.24:10; with accusative of thing(s), Mrk.14:68, Act.18:25, 1Ti.6:4,
ἐπιστάτης	master	(ἐφίστημι), a chief, commander, master : Luk.5:5 8:24, 45 9:33, 49 17:13 (cf.
ἐπιστέλλω	to write to	to send to. to send a message by letter, to write word (MM, Exp., xiv): with dative of person(s), Act.21:25, Heb.13:22; before τοῦ, with inf., Act.15:20. † (AS)
ἐπιστήμων	knowing	(ἐπίσταμαι) knowing, skilled : Jas.3:13. † (AS)
ἐπιστηρίζω	to strengthen	to make stronger, confirm : with accusative, Act.14:22 15:32, 41.† (AS)
ἐπιστολή	epistle	(ἐπιατέλλω), a message. a letter, an epistle : Act.9:2, 1Co.5:9, al.; pl., Act.22:5, 1Co.16:3, al.; ἐ. σνστατικαί, 2Co.3:1 (cf.
ἐπιστομίζω	to silence	(στόμα), to bridle; metaphorically, to stop the mouth, to silence : Tit.1:11. † (AS)
ἐπιστρέφω	to turn	trans., to turn about, round or towards, hence metaphorically, to turn, cause to return (to God, virtue, etc.): Luk.1:16-17 (cf.
ἐπιστροφή	conversion	(ἐπιστρέφω) a turning about; metaphorically, conversion (Field, Notes, 246): Act.15:3. † (AS)
ἐπισυνάγω	to gather	to gather together : Mat.23:37 24:31, Mrk.13:27, Luk.13:34; pass., Mrk.1:33, Luk.12:1 17:37, (cf.
ἐπισυναγωγή	gathering	(ἐπισυνάγω), a gathering together, assembly : Heb.10:25; before ἐπί, 2Th.2:1 (cf. 2Mac, l.with).† (AS)
ἐπισυντρέχω	to run together	to run together again : Mrk.9:25 (see Swete, in l).† (AS)
ἐπισύστασις	insurrection	(ἐπισυνίστημι) a gathering, a riotous throng : Rec. (for ἐπίστασις, which see), Act.24:12, 2Co.11:28.† (AS)
ἐπισφαλής	dangerous/unsteady	(σφάλλω, to cause to full), prone to fall (Plat.). dangerous (Hipp., Plut., al.): Act.27:9. † (AS)
ἐπισχύω	to insist	to make stronger (Sir, l.with). to grow stronger; metaphorically, be more urgent : Luk.23:5. † (AS)
ἐπισωρεύω	to accumulate	to heap together; metaphorically, διδασκάλους, 2Ti.4:3. † (AS)
ἐπιταγή	command	(ἐπιτάσσω), = cl., ἐπίταγμα, a command, Rom.16:26, 1Co.7:6 7:25, 2Co.8:8, 1Ti.1:1, Tit.1:3 (for use in Inscr. of divine commands, see MM, Exp., xiv); μετὰ πάσης ἐ, with all authority : Tit.2:15. †
ἐπιτάσσω	to command	to command, charge : with accusative of thing(s), Luk.14:22; with dative of person(s), Mrk.1:27 9:25, Luk.4:36 8:25; id. with accusative of thing(s), Phm 8; id. with inf., Mrk.6:39, Luk.8:31,
ἐπιτελέω	to complete	to complete, accomplish, execute : with accusative of thing(s), Rom.15:28, 2Co.7:1 8:6 8:11, Php.1:6, Heb.8:5; of religious services (cf.
ἐπιτήδειος	necessary	suitable, convenient, useful, necessary : τὰ ἐ., necessaries, Jas.2:16,† (AS)
ἐπιτίθημι	to put/lay on	to lay, set or place upon : with accusative of thing(s), before ἐπί, with accusative of thing(s), Mat.23:4, Luk.15:5, Jhn.9:6 (WH, txt.
ἐπιτιμάω	to rebuke	to honour. to raise in price to mete out due measure; to award; to censure, rebuke, admonish : absol., 2Ti.4:2; with dative, Mat.8:26 17:13 19:13, Mrk.4:39 8:32 10:13, Luk.4:39, 41 8:24 9:21, 42 9:55
ἐπιτιμία	punishment	(ἐπιτιμάω), citizenship, franchise.
ἐπιτρέπω	to permit	to turn to, commit, entrust. to yield, permit : 1Co.16:7, Heb.6:3; with dative of person(s), Mrk.5:13, Jhn.19:38; id. with inf. (cf.
ἐπιτροπή	commission	(ἐπιτρέπω), power to decide, authority : Act.26:12. † (AS)
ἐπίτροπος	manager	(ἐπιτρέπω), an administrator, a steward : Mat.20:3, Luk.8:3. a guardian (with genitive of person(s), 2Mac, ll. with): Gal.4:2. † (AS)
ἐπιτυγχάνω	to obtain	to light upon. to obtain, attain to : Jas.4:2, with genitive of thing(s) (as in cl.), Heb.6:15 11:33; with accusative (late Gk.), Rom.11:7 (Rec. τούτου).† (AS)
ἐπιφαίνω	to appear	to show forth. (= pass. in cl.) to appear: Act.27:20; with dative of person(s), Luk.1:79; metaphorically, Tit.3:4; with dative, Tit.2:11 (Cremer, 567).† (AS)
ἐπιφάνεια	appearing	(ἐπιφανής), (in late Gk. and Inscr., frequently of deities, see MM, Exp., xiv) a manifestation, appear­ance : 2Th.2:8, 1Ti.6:14, 2Ti.1:10 4:1 4:8, Tit.2:13 (cf.
ἐπιφανής	glorious	(ἐπιφαίνω), renowned, illustrious, notable : Act.2:20 (LXX) (cf.
ἐπιφαύσκω	to shine on	(variant form of ἐπιφώσκω, which see), to shine forth : figuratively, with dative, Eph.5:14 (on seel. -ψαύσει, see ICC, Westc., AR, in l).† (AS)
ἐπιφέρω	to inflict	to bring upon or against : κρίσιν, Ju 9. to impose, inflict : Rom.3:5. † (AS)
ἐπιφωνέω	to shout	to call out, shout : with accusative of thing(s), Act.21:34; with dative of person(s), Act.22:24; before λέγοντες, Luk.23:21; prat. rect., Act.12:22. † (AS)
ἐπιφώσκω	to dawn	to let shine. to dawn (cf.
ἐπιχειρέω	to attempt	(χεῖρ), to pat one's hand to. to take in hand, attempt : with inf., Luk.1:1, Act.9:29 19:13.† (AS)
ἐπιχέω	to pour on/over	to pour upon : Luk.10:34. † (AS)
ἐπιχορηγέω	to supply	to supply, provide : with accusative of thing(s), 2Pe.1:5; id. with dative of person(s), 2Co.9:10, Gal.3:5; pass., Col.2:19, 2Pe.1:11 (cf. χορηγέω, and see MM, Exp., xiv).† (AS)
ἐπιχορηγία	supply	(ἐπιχορηγέω), a supply : Eph.4:16, Php.1:19.† (AS)
ἐπιχρίω	to rub on	to spread on, anoint : with accusative, Jhn.9:11; id. before hi-I, with accusative, Jhn.9:6 (cf.
ἐποικοδομέω	to build up/upon	in NT, always metaphorically, of the spiritual life regarded as a building (Cremer, 449); to build upon : 1Co.3:10 3:12 3:14; pass., Eph.2:20. to build up : Col.2:7, 1Pe.2:5 (T, οἰκοδ- WH, Rec.), Ju
ἐποκέλλω	to run aground	of a ship, to run ashore : with accusative, Act.27:41. † (AS)
ἐπονομάζω	to name	to name, call by a name, surname : pass., Rom.2:17. † (AS)
ἐποπτεύω	to observe	to watch (in Hom., as an overseer; cf Ps, ll. with), look upon : 1Pe.2:12 3:2.† (AS)
ἐπόπτης	eyewitness	an overseer (LXX, ll. with). a spectator : 2Pe.1:16 (of ἐ. as applied to God, see parallels in Inscr., MM, Exp., xiv; of the use of this term in the mysteries, see Mayor on 2Pe, l.with; Thayer, see
ἔπος	a word	a word : ὡς ἔ. εἰπεῖν (cl.), so to speak : Heb.7:9. † SYN. : λόγος, reasoned speech; ῥῆμα, mere articulated utterance; ἔ., the articulated expression of a thought (AS)
ἐπουράνιος	heavenly	(οὐρανός), in or of heaven, heavenly (in Hom., of the Gods): οἱ ἐ., opposite to ἐπίγειοι and καταχθόνιοι, Php.2:10; to χοϊκός, 1Co.15:48-49; σώματα (see Lft., Col., 376), 1Co.15:40; βασιλεία,
ἑπτά	seven	indecl., seven : Mat.12:45 18:22 (cf. ἑβδομηκοντάκις), Mrk.8:5, al.; οἱ ἐ, Act.21:8 (AS)
ἑπτάκις	seven times	adv., seven times : Mat.18:21-22, Luk.17:4.† (AS)
ἑπτακισχίλιοι	seven thousand	seven thousand : Rom.11:4. † (AS)
εἶπον	to say	(AS)
Ἔραστος	Erastus	Erastus; a companion of St.
ἐργάζομαι	to work	(ἔργον), intrans., to work, labour : Mat.21:28, Luk.13:14, Jhn.5:17 9:4 b, Act.18:3, 1Co.9:6, 2Th.3:10-12; τ. χερσίν, 1Co.4:12, 1Th.4:11; νυκτὸς κ. ἡαέρας, 1Th.2:9, 2Th.3:8; of working for pay,
ἐργασία	work	(ἔργον), work, business : Act.16:16, 19 19:24-25; δὸς ἐ. (Lat. da operam), Luk.12:58. working, performance : Eph.4:19. † (AS)
ἐργάτης	worker	(ἐργάζομαι, which see), prop., a field labourer, husbandman : Mat.9:37-38 20:1-2, 8, Luk.10:2, Jas.5:4 (cf.
ἔργον	work	work, task, employment : Mrk.13:34, Jhn.4:34 17:4, Act.13:2, Php.1:22 2:30, 1Th.5:13, al.; of an enterprise or undertaking ( Deu.15:10, Wis.2:12 ), Act.5:38. a deed, action : Tit.1:16, Jas.1:25.
ἐρεθίζω	to provoke/irritate	to stir up, provoke (as in cl.): Col.3:21. In good sense (cf. ἐρεθισμός, excitement, in M Gr. ), to stir up, stimulate : 2Co.9:2. † (AS)
ἐρείδω	to immobilise	(chiefly in poets and late prose for ἐρυγγάνω), to prop, fix firmly : act., as mid., ἐρείσασα, of a ship driving ashore (RV, struck), Act.27:41. † (AS)
ἐρεύγομαι	to utter/proclaim	to spit or spue out.
ἐρευνάω	to look for/into	to search, examine : Jhn.7:52; with accusative of thing(s), Jhn.5:39, Rom.8:27, 1Co.2:10, Rev.2:23; before orat. obliq., 1Pe.1:11. † SYN. : see: ἐξετάζω (AS)
ἐρῶ	to say	in Hom., to pick out, gather, reckon, recount.
ἐρημία	desert	(ἔρημος), a solitude, wilderness : Mat.15:33, Mrk.8:4, 2Co.11:26, Heb.11:38.† (AS)
ἔρημος	deserted	(in older Gk. ἔρῆμος), -ον solitary, lonely, desolate, deserted : of persons, γυνή, Gal.4:27 (LXX); of places, Mat.14:13, 15 23:38 (WH, om.), Mrk.1:36 6:32, Luk.4:42 9:12, al.; as subst., ἡ ἔ. (sc.
ἐρημόω	to lay waste	(ἔρημος), to desolate, lay waste : Mat.12:25, Luk.11:17, Rev.17:16 18:16, 19.† (AS)
ἐρήμωσις	devastation	(ἐρημόω), a making desolate, laying waste : Luk.21:20; βδέλυγμα ἐρημώσεως (Da, ll. with, 1Ma.1:54 ), Mat.24:15 " (LXX), Mrk.13:14. † (AS)
ἐρίζω	to quarrel	(ἔρις), to wrangle, strive : Mat.12:19 (LXX, κεκράζεται).† (AS)
