α	Alpha	alpha, the first letter of the Greek alphabet.
ἀθέτησις	nullification	(ἀθετέω), a disannulling, setting aside : Heb.7:18 9:26 (for similar usage in π., see Deiss., BS, 228 f.; MM, VGT, see word).† (AS)
Ἀθῆναι	Athens	Athens : Act.17:15,16 18:1, 1Th.3:1.† (AS)
Ἀθηναῖος	Athenian	Athenian, of or from Athens, (Iliad by Homer), etc (ML)
ἀθλέω	to compete	to contend in games, wrestle, combat : 2Ti.2:5. † (AS)
ἄθλησις	struggle	(ἀθλέω), a contest, combat, esp. of athletes; figuratively, a struggle : Heb.10:32 (for exx., see MM, VGT, see word).† (AS)
ἀθυμέω	be discouraged	to be disheartened : Col.3:21. † (AS)
ἀθῷος	innocent	(θωή, a penalty ), unpunished (MM, VGT, see word). innocent : Mat.27:4 (WH, R, mg., δίκαιον) 27:24. (AS)
αἴγειος	goat's	of a goat : Heb.11:37 (MM, VGT, see word).† (AS)
αἰγιαλός	shore	the sea-shore, beach (cf.
Αἰγύπτιος	Egyptian	Egyptian : Act.7:22,24,28 21:38, Heb.11:29.† (AS)
Αἴγυπτος	Egypt	Egypt : Mat.2:13-15,19, Act.2:10 7:9-39, Heb.3:16 11:26,27; γῆ Αἴ., Act.7:40 13:17, Heb.8:9, Ju 5 (cf.
ἀΐδιος	eternal	(ἀεί), everlasting (frequently in Inscr.; MM, VGT, see word): Rom.1:20, Ju 6.† SYN. : αἰώνιος, also frequently in Inscr. (Deiss., BS, 363 J. The etymological distinction between the meanings of the
αἰδώς	modesty	a sense of shame, modesty : 1Ti.2:9 (for exx., see MM, VGT, see word).† SYN. : αἰσχύνη (see Thayer, 14; Tr., Syn., §xix; Cremer, 611 f.; CGT on I Ti, l.with). (AS)
Αἰθίοψ	Ethiopian	(αἴθω, to burn, ὤψ, face; i.e. swarthy ), Ethiopian : Act.8:27. † (AS)
αἷμα	blood	blood. In the ordinary sense : Mrk.5:25, Luk.8:43,44 22:44, Jhn.19:34, Act.15:20,29 21:25, Rev.8:7,8 11:6 16:3,4,6 19:13. In special senses : of generation, origin, kinship (cl.): Jhn.1:13 (see MM,
αἱματεκχυσία	bloodshed	(αἷμα, ἐκ, χέω), shedding of blood (Eccl.; Cremer, 71): Heb.9:22. † (AS)
αἱμορροέω	to bleed	(αἷμα, ῥέω), to lose blood, suffer from a flow of blood (Hipp.): Mat.9:20. † (AS)
Αἰνέας	Aeneas	Æneas : Act.9:33,34.† (AS)
αἴνεσις	praise	(αἰνέω), praise (Eccl.): θυσία αἰνέσεως ( Lev.7:12, זֶבַח תּוֹדָה), Heb.13:15. † (AS)
αἰνέω	to praise	to praise : with accusative, τ. θεόν, Luk.2:13,20 19:37 24:53, Act.2:47 3:8,9, Rom.15:11; with dative, τ. Θεῷ ( Jer.20:13, al. for הִלֵּל לְ; see Field, Notes, 245), Rev.19:5. † SYN. : ἐξομολογέω,
αἴνιγμα	obscure thing	(αἰνίσσομαι, to speak in riddles; αἰνός = δεινός, dread, strange ), a dark saying, riddle : 1Co.13:12 (cf.
αἶνος	praise	poët, and Ion., = μῦθος, a tale (Horn., al.). = Att. ἔπαινος, praise (Horn., al.): Mat.21:16 (LXX), Luk.18:43. In π., a decree (MM, VGT, see word). † (AS)
Αἰνών	Aenon	Aenon : Jhn.3:23. † (AS)
αἱρέω	to choose	to take; Mid., -ομαι (M, Pr., 158 f.; MM, VGT, see word), to choose : Php.1:22, 2Th.2:13, Heb.11:25. (Cf. ἀν-, ἀφ-, δι-, ἐξ-, καθ-, περι-, προ-αιρέω.) † (AS)
αἵρεσις	sect	(αἱρέω, -ομαι), capture. choosing, choice (see MM, VGT, see word). that which is chosen, hence, opinion; esp. a peculiar opinion, heresy : 1Co.11:19, Gal.5:20, 2Pe.2:1 R, txt.
αἱρετίζω	to choose	= αἱρέομαι (Hipp., Inscr.), to choose : Mat.12:18 (LXX, ἀντιλήμψομαι).† (AS)
αἱρετικός	schismatic	(αἱρέομαι), capable of choosing (Plat.). causing division, heretical, factious (Cremer, 614): as subst., Tit.3:10. † (AS)
αἴρω	to take up	to raise, take up, lift or draw up : Jhn.8:59 11:41, Act.27:17, al. to bear, carry : Mat.4:6 16:24, al. to bear or take away, carry off, remove : Mat.21:21, Jhn.19:31, 1Co.5:12 6:15 (see Lft., Notes,
αἰσθάνομαι	to perceive	to perceive : withaccusative of thing(s) (Bl., §36, 5; MM, VGT, see word), Luk.9:45 (Cremer, 619 f.).† (AS)
αἴσθησις	insight	(αἰσθάνομαι), perception (MM, VGT, see word): Php.1:9. † SYN. : ἐπίγνωσις, which see (cf.
αἰσθητήριον	sense	(αἰσθάνομαι), sense, organ of perception : Heb.5:14 (MM, VGT, see word).† (AS)
αἰσχροκερδής	greedy	(αἰσχρός, κέρδος), greedy of base gains : 1Ti.3:3,8 Abbot-Smith omits 1Ti.3:3, Tit.1:7. † (AS)
αἰσχροκερδῶς	greedily	from eagerness for base gain : 1Pe.5:2 (here only).† (AS)
αἰσχρολογία	obscenity	(αἰσχρός, λέγω), abusive language, abuse (Lft., ICC, in l.; MM, VGT, see word): Col.3:8. † (AS)
αἰσχρόν	shameful	(αἶσχος, shame, disgrace ), base, shameful : 1Co.11:6 14:35, Eph.5:12, Tit.1:11 (MM, VGT, see word).† (AS)
αἰσχρός	shameful	(αἶσχος, shame, disgrace ), base, shameful : 1Co.11:6 14:35, Eph.5:12, Tit.1:11 (MM, VGT, see word).† (AS)
αἰσχρότης	obscenity	(αἰσχρός), baseness : Eph.5:4. † (AS)
αἰσχύνη	shame	(αἶσχος, shame, disgrace ), shame (MM, VGT, see word): subjectively, Luk.14:19, 2Co.4:2; objectively, Php.3:19, Heb.12:2; as something to be ashamed of, Rev.3:18; pl. (Bl., §32, 6), shameful deeds,
αἰσχύνω	be ashamed	(αἶσχος, shame ), to disfigure (Hom.). to dishonour ( Pro.29:15 ). to make ashamed ( Sir.13:7 ). Pass., to be put to shame, be ashamed : 2Co.10:8; Php.1:20, 1Pe.4:16, 1Jn.2:28; with inf. (M, Pr.,
αἰτέω	to ask	to ask, request : absol., Mat.7:7, Jas.1:6; with accusative of person(s), Mat.5:42, Luk.6:30; with accusative of thing(s), before ἀπό, Mat.20:20, 1Jn.5:15; id. before παρά, Act.3:2, Jas.1:5; with
αἴτημα	request	(αἰτέω), that which has been asked for, a petition, request : Luk.23:24, Php.4:6, Jhn.5:15.† SYN. : see: δέησις. (AS)
αἰτία	cause/charge	cause, reason, occasion, case : Mat.19:3, Luk.8:47, Act.10:21 22:24 28:20, 2Ti.1:6,12, Tit.1:13, Heb.2:11; εἰ οὕτως ἐστιν ἡ αἰ. (cf.
αἰτίαμα	charge	(αἰτιάομαι, αἰτία), a charge, accusation : Act.25:7. † (AS)
αἴτιον	reason for charge	αἴτιος, -α, ὁ (αἰτία), causative of, responsible for; as subst., ὁ αἰ., the cause, author : Heb.5:9; τὸ αἰ., the cause, Act.19:40. blameworthy, culpable; as subst., ὁ αἰ., the culprit, the accused
